S.No.,Country,Year_2008-2009_Value,Year_2008-2009_Share,Year_2009-2010_Value,Year_2009-2010_Share,Year_2010-2011_Value,Year_2010-2011_Share,Year_2011-2012_Value,Year_2011-2012_Share,Year_2012-2013_Value,Year_2012-2013_Share,Year_2013-2014_Value,Year_2013-2014_Share,Year_2014-2015_Value,Year_2014-2015_Share,Year_2015-2016_Value,Year_2015-2016_Share,Year_2016-2017_Value,Year_2016-2017_Share,Year_2017-2018_Value,Year_2017-2018_Share,Year_2018-2019_Value,Year_2018-2019_Share,Year_2019-2020_Value,Year_2019-2020_Share,Year_2020-2021_Value,Year_2020-2021_Share,Year_2021-2022_Value,Year_2021-2022_Share,Year_2022-2023_Value,Year_2022-2023_Share,Year_2023-2024_Value,Year_2023-2024_Share,Year_2024-2025_Value,Year_2024-2025_Share
77,FRANCE,1377671.15,1.6386,1799941.28,2.1288,17069.33,0.015,2202080.31,1.5021,2710585.55,1.6585,3095127.32,1.6247,3032342.22,1.599,3032612.4,1.7669,4815370.0,2.6037,5599363.47,2.8619,6220062.92,2.6953,5872261.72,2.6453,73551.05,0.0341,122136.5,0.0388,98596.46,0.0272,145448.63,0.0402,29442.81,0.0471
78,GABON,9922.0,0.0118,11760.52,0.0139,18947.24,0.0167,22704.69,0.0155,29505.18,0.0181,32120.14,0.0169,26027.15,0.0137,24165.8,0.0141,456585.83,0.2469,409801.94,0.2095,500679.01,0.217,437451.54,0.1971,6011271.2,2.7842,7371637.84,2.3424,213194.61,0.0589,163377.13,0.0451,1368544.9,2.1876
79,GAMBIA,14067.84,0.0167,17487.86,0.0207,33182.23,0.0292,30927.64,0.0211,30206.16,0.0185,51572.76,0.0271,44901.8,0.0237,39133.71,0.0228,863154.54,0.4667,187843.67,0.096,401793.41,0.1741,444136.74,0.2001,637869.04,0.2954,826935.6,0.2628,8139690.83,2.2476,8145946.67,2.2507,159631.92,0.2552
80,GEORGIA,33414.71,0.0397,26265.96,0.0311,3071853.52,2.7018,59041.45,0.0403,67454.69,0.0413,55468.6,0.0291,53005.28,0.028,54217.55,0.0316,255015.87,0.1379,279521.64,0.1429,350286.57,0.1518,316193.5,0.1424,153580.65,0.0711,368346.7,0.117,771844.36,0.2131,910343.59,0.2515,87.08,0.0001
88,GUAM,248.38,0.0003,276.17,0.0003,51390.2,0.0452,930.4,0.0006,549.9,0.0003,168.08,0.0001,254.91,0.0001,250.98,0.0001,14520.25,0.0079,6885.33,0.0035,7563.27,0.0033,6363.05,0.0029,371576.11,0.1721,418259.79,0.1329,506360.51,0.1398,576426.57,0.1593,1510.76,0.0024
89,GUATEMALA,36984.11,0.044,41055.31,0.0486,43865.85,0.0386,92124.49,0.0628,122209.92,0.0748,128931.45,0.0677,140099.77,0.0739,167572.42,0.0976,13450.34,0.0073,16778.76,0.0086,20722.28,0.009,17867.03,0.008,13338.59,0.0062,7907.79,0.0025,7953.31,0.0022,5782.01,0.0016,12212.21,0.0195
90,GUINEA,35446.38,0.0422,37671.9,0.0446,1389.09,0.0012,62647.77,0.0427,112040.37,0.0686,123699.44,0.0649,173475.63,0.0915,181824.69,0.1059,47908.5,0.0259,60585.38,0.031,55503.78,0.0241,46474.06,0.0209,26285.88,0.0122,49531.38,0.0157,49984.3,0.0138,82335.33,0.0227,3106.09,0.005
92,GUYANA,5555.41,0.0066,7715.78,0.0091,27536.81,0.0242,10224.29,0.007,11948.98,0.0073,14695.0,0.0077,14946.95,0.0079,14288.06,0.0083,90446.67,0.0489,94251.13,0.0482,116879.29,0.0506,131352.09,0.0592,120428.7,0.0558,236870.5,0.0753,219083.69,0.0605,220142.57,0.0608,774252.55,1.2376
93,HAITI,20342.04,0.0242,15668.16,0.0185,204.9,0.0002,23110.1,0.0158,34679.77,0.0212,35830.56,0.0188,52378.17,0.0276,40614.28,0.0237,9411493.32,5.0889,9467735.08,4.8391,9111741.76,3.9484,7775243.4,3.5026,7520143.29,3.4831,8183452.88,2.6004,7949741.89,2.1951,6829915.45,1.8871,71199.3,0.1138
95,HONDURAS,31588.43,0.0376,21515.76,0.0254,4703841.63,4.1372,44210.05,0.0302,59975.69,0.0367,65530.75,0.0344,114964.94,0.0606,101414.22,0.0591,11209.53,0.0061,3802.22,0.0019,21791.46,0.0094,7144.79,0.0032,8078.4,0.0037,8779.88,0.0028,8378.11,0.0023,10064.36,0.0028,782813.37,1.2513
96,HONG KONG,3039069.39,3.6147,3730053.4,4.4115,96805.13,0.0851,6187723.46,4.2209,6689817.16,4.0933,7724096.13,4.0546,8311857.4,4.3831,7930702.05,4.6206,2340069.18,1.2653,2556175.52,1.3065,3687106.45,1.5977,2929938.37,1.3199,3715668.84,1.721,6319650.22,2.0081,8033518.43,2.2183,4951517.09,1.3681,190180.29,0.304
97,HUNGARY,199667.93,0.2375,128182.66,0.1516,38606.42,0.034,151592.17,0.1034,176180.7,0.1078,207994.28,0.1092,213421.51,0.1125,225839.51,0.1316,53433.43,0.0289,22401.02,0.0114,2446096.07,1.06,2385428.68,1.0746,1321185.17,0.6119,1083117.95,0.3442,1327244.14,0.3665,1011729.0,0.2795,470052.94,0.7514
98,ICELAND,5708.88,0.0068,8015.05,0.0095,2592440.79,2.2801,15984.84,0.0109,14092.77,0.0086,11978.94,0.0063,12200.12,0.0064,12175.99,0.0071,1595527.94,0.8627,1709370.72,0.8737,1250649.91,0.5419,1328659.79,0.5985,1110518.18,0.5144,1796957.8,0.571,2177664.26,0.6013,2776676.46,0.7672,86498.52,0.1383
99,INDONESIA,1157782.95,1.3771,1460463.91,1.7273,1133689.41,0.9971,3210069.61,2.1897,2899608.7,1.7742,2933987.09,1.5401,2467435.24,1.3012,1844606.51,1.0747,745645.13,0.4032,942265.18,0.4816,371498.31,0.161,378331.77,0.1704,416967.58,0.1931,513013.07,0.163,467244.12,0.129,582089.64,0.1608,270925.6,0.4331
101,IRAQ,198127.14,0.2357,226331.18,0.2677,122914.98,0.1081,370849.83,0.253,697277.74,0.4266,552497.27,0.29,2552961.91,1.3463,1817670.99,1.059,2069804.44,1.1192,2168736.36,1.1085,3908778.67,1.6938,3525935.23,1.5884,3499172.02,1.6207,6095957.44,1.9371,6976287.42,1.9263,7255314.3,2.0046,11765.06,0.0188
102,IRELAND,203497.12,0.242,123564.18,0.1461,1328259.52,1.1683,183649.88,0.1253,210291.03,0.1287,250896.7,0.1317,508954.05,0.2684,654975.58,0.3816,3285790.48,1.7766,3680606.5,1.8812,38832.88,0.0168,40204.37,0.0181,47435.64,0.022,60088.9,0.0191,70520.75,0.0195,90376.63,0.025,760355.59,1.2154
106,JAPAN,1380771.3,1.6423,1714278.6,2.0275,220230.43,0.1937,3051134.4,2.0813,3321415.89,2.0323,4125345.29,2.1655,23174.32,0.0122,26349.01,0.0154,350435.01,0.1895,347843.15,0.1778,100411.81,0.0435,143559.84,0.0647,1403083.53,0.6499,1962269.11,0.6235,349939.77,0.0966,195928.53,0.0541,292287.09,0.4672
107,JORDAN,196036.4,0.2332,116368.75,0.1376,78442.53,0.069,397685.72,0.2713,545264.63,0.3336,982730.34,0.5159,3283568.79,1.7315,3043466.66,1.7732,81084.29,0.0438,80791.57,0.0413,1444068.05,0.6258,1493656.89,0.6729,529.68,0.0002,1223.48,0.0004,2628344.06,0.7258,2631294.55,0.727,1376.4,0.0022
108,KAZAKHSTAN,60244.72,0.0717,64821.66,0.0767,994752.69,0.8749,117144.6,0.0799,155913.79,0.0954,158010.1,0.0829,869669.71,0.4586,326542.91,0.1903,1471467.78,0.7956,1272449.44,0.6504,255.04,0.0001,271.69,0.0001,2088.24,0.001,252.65,0.0001,1219.96,0.0003,857.83,0.0002,51.48,0.0001
109,KENYA,614088.18,0.7304,689241.82,0.8152,57.24,0.0001,1098722.12,0.7495,2052569.66,1.2559,2359553.95,1.2386,153244.29,0.0808,99436.67,0.0579,316.09,0.0002,354.91,0.0002,19112.09,0.0083,6374.77,0.0029,3469423.42,1.6069,6034956.81,1.9177,1371.74,0.0004,1700.23,0.0005,730427.64,1.1676
